Code,Year,Value
AFE,2024,86.106
AFE,2023,85.957
AFE,2022,83.348
AFE,2021,83.176
AFE,2020,83.193
AFE,2019,83.636
AFE,2018,84.105
AFE,2017,84.518
AFE,2016,84.888
AFE,2015,85.196
AFE,2014,85.536
AFE,2013,85.823
AFE,2012,85.35
AFE,2011,86.031
AFE,2010,85.961
AFE,2009,86.084
AFE,2008,86.222
AFE,2007,86.351
AFE,2006,86.46
AFE,2005,86.467
AFE,2004,86.299
AFE,2003,86.117
AFE,2002,85.917
AFE,2001,85.709
AFE,2000,85.551
AFW,2024,87.954
AFW,2023,87.766
AFW,2022,84.702
AFW,2021,84.694
AFW,2020,84.211
AFW,2019,84.559
AFW,2018,84.613
AFW,2017,84.804
AFW,2016,84.734
AFW,2015,84.974
AFW,2014,85.027
AFW,2013,85.221
AFW,2012,85.373
AFW,2011,85.266
AFW,2010,85.459
AFW,2009,85.339
AFW,2008,85.408
AFW,2007,85.358
AFW,2006,85.107
AFW,2005,84.851
AFW,2004,84.769
AFW,2003,84.599
AFW,2002,84.499
AFW,2001,84.13
AFW,2000,83.957
ARB,2024,30.265
ARB,2023,30.39
ARB,2022,28.988
ARB,2021,29.304
ARB,2020,29.141
ARB,2019,29.019
ARB,2018,29.627
ARB,2017,30.875
ARB,2016,31.606
ARB,2015,31.305
ARB,2014,30.789
ARB,2013,30.469
ARB,2012,30.185
ARB,2011,30.204
ARB,2010,30.018
ARB,2009,29.992
ARB,2008,29.457
ARB,2007,29.942
ARB,2006,29.002
ARB,2005,28.635
ARB,2004,28.398
ARB,2003,28.19
ARB,2002,27.923
ARB,2001,28.589
ARB,2000,28.304
CSS,2024,75.412
CSS,2023,75.653
CSS,2022,75.565
CSS,2021,74.634
CSS,2020,73.902
CSS,2019,74.947
CSS,2018,74.168
CSS,2017,73.356
CSS,2016,72.979
CSS,2015,71.76
CSS,2014,72.055
CSS,2013,71.256
CSS,2012,70.883
CSS,2011,69.52
CSS,2010,69.229
CSS,2009,68.649
CSS,2008,68.894
CSS,2007,67.724
CSS,2006,68.133
CSS,2005,67.369
CSS,2004,66.074
CSS,2003,64.729
CSS,2002,63.395
CSS,2001,62.8
CSS,2000,62.253
CEB,2024,78.058
CEB,2023,77.629
CEB,2022,77.065
CEB,2021,76.089
CEB,2020,75.285
CEB,2019,75.727
CEB,2018,76.048
CEB,2017,76.061
CEB,2016,75.979
CEB,2015,76.096
CEB,2014,76.034
CEB,2013,76.017
CEB,2012,76.148
CEB,2011,75.944
CEB,2010,75.953
CEB,2009,75.192
CEB,2008,75.359
CEB,2007,75.304
CEB,2006,75.57
CEB,2005,75.573
CEB,2004,75.958
CEB,2003,76.176
CEB,2002,76.246
CEB,2001,76.392
CEB,2000,75.816
EAR,2024,50.502
EAR,2023,49.988
EAR,2022,49.103
EAR,2021,48.042
EAR,2020,46.885
EAR,2019,47.469
EAR,2018,47.125
EAR,2017,46.851
EAR,2016,46.659
EAR,2015,46.508
EAR,2014,46.252
EAR,2013,46.256
EAR,2012,46.332
EAR,2011,46.448
EAR,2010,46.735
EAR,2009,46.885
EAR,2008,46.924
EAR,2007,47.286
EAR,2006,47.099
EAR,2005,47.462
EAR,2004,47.191
EAR,2003,47.132
EAR,2002,46.88
EAR,2001,46.922
EAR,2000,46.913
EAS,2024,80.634
EAS,2023,80.447
EAS,2022,80.166
EAS,2021,79.94
EAS,2020,79.367
EAS,2019,79.649
EAS,2018,79.395
EAS,2017,79.027
EAS,2016,78.781
EAS,2015,78.56
EAS,2014,78.378
EAS,2013,78.183
EAS,2012,78.088
EAS,2011,77.971
EAS,2010,77.852
EAS,2009,78.011
EAS,2008,78.1
EAS,2007,78.229
EAS,2006,78.053
EAS,2005,78.217
EAS,2004,78.302
EAS,2003,78.615
EAS,2002,78.81
EAS,2001,79.168
EAS,2000,79.518
EAP,2024,80.749
EAP,2023,80.66
EAP,2022,80.447
EAP,2021,80.264
EAP,2020,79.718
EAP,2019,80.018
EAP,2018,79.829
EAP,2017,79.517
EAP,2016,79.329
EAP,2015,79.158
EAP,2014,79.01
EAP,2013,78.861
EAP,2012,78.847
EAP,2011,78.753
EAP,2010,78.646
EAP,2009,78.856
EAP,2008,79.009
EAP,2007,79.216
EAP,2006,79.045
EAP,2005,79.289
EAP,2004,79.453
EAP,2003,79.899
EAP,2002,80.153
EAP,2001,80.591
EAP,2000,81.087
TEA,2024,80.611
TEA,2023,80.521
TEA,2022,80.305
TEA,2021,80.117
TEA,2020,79.563
TEA,2019,79.868
TEA,2018,79.677
TEA,2017,79.364
TEA,2016,79.177
TEA,2015,79.002
TEA,2014,78.853
TEA,2013,78.703
TEA,2012,78.689
TEA,2011,78.593
TEA,2010,78.484
TEA,2009,78.698
TEA,2008,78.855
TEA,2007,79.064
TEA,2006,78.891
TEA,2005,79.14
TEA,2004,79.304
TEA,2003,79.755
TEA,2002,80.012
TEA,2001,80.455
TEA,2000,80.956
EMU,2024,82.555
EMU,2023,82.566
EMU,2022,82.072
EMU,2021,81.847
EMU,2020,81.122
EMU,2019,81.036
EMU,2018,80.632
EMU,2017,80.541
EMU,2016,80.333
EMU,2015,79.92
EMU,2014,79.716
EMU,2013,79.209
EMU,2012,78.701
EMU,2011,78.148
EMU,2010,77.256
EMU,2009,76.832
EMU,2008,75.695
EMU,2007,75.249
EMU,2006,74.548
EMU,2005,73.694
EMU,2004,72.973
EMU,2003,72.349
EMU,2002,71.311
EMU,2001,70.476
EMU,2000,70.122
ECS,2024,78.19
ECS,2023,77.93
ECS,2022,77.641
ECS,2021,77.22
ECS,2020,76.821
ECS,2019,76.791
ECS,2018,76.536
ECS,2017,76.479
ECS,2016,76.413
ECS,2015,76.28
ECS,2014,76.298
ECS,2013,76.249
ECS,2012,76.157
ECS,2011,75.997
ECS,2010,75.656
ECS,2009,75.54
ECS,2008,75.03
ECS,2007,75.112
ECS,2006,75.032
ECS,2005,74.567
ECS,2004,74.25
ECS,2003,74.095
ECS,2002,73.726
ECS,2001,72.937
ECS,2000,72.624
ECA,2024,64.025
ECA,2023,63.584
ECA,2022,62.995
ECA,2021,64.745
ECA,2020,64.585
ECA,2019,65.057
ECA,2018,65.022
ECA,2017,65.22
ECA,2016,65.397
ECA,2015,65.557
ECA,2014,65.614
ECA,2013,66.08
ECA,2012,66.306
ECA,2011,66.507
ECA,2010,66.847
ECA,2009,66.582
ECA,2008,66.549
ECA,2007,66.727
ECA,2006,67.168
ECA,2005,67.077
ECA,2004,67.179
ECA,2003,68.093
ECA,2002,68.19
ECA,2001,67.583
ECA,2000,67.31
TEC,2024,71.662
TEC,2023,71.346
TEC,2022,71.154
TEC,2021,70.992
TEC,2020,70.865
TEC,2019,71.032
TEC,2018,71.089
TEC,2017,71.109
TEC,2016,71.232
TEC,2015,71.433
TEC,2014,71.709
TEC,2013,72.057
TEC,2012,72.433
TEC,2011,72.626
TEC,2010,72.766
TEC,2009,72.886
TEC,2008,72.878
TEC,2007,73.462
TEC,2006,73.844
TEC,2005,73.654
TEC,2004,73.638
TEC,2003,73.988
TEC,2002,74.005
TEC,2001,73.221
TEC,2000,72.978
EUU,2024,81.819
EUU,2023,81.726
EUU,2022,81.198
EUU,2021,80.812
EUU,2020,80.138
EUU,2019,80.18
EUU,2018,79.948
EUU,2017,79.862
EUU,2016,79.678
EUU,2015,79.374
EUU,2014,79.211
EUU,2013,78.853
EUU,2012,78.479
EUU,2011,78.003
EUU,2010,77.238
EUU,2009,76.777
EUU,2008,75.968
EUU,2007,75.649
EUU,2006,75.118
EUU,2005,74.46
EUU,2004,73.987
EUU,2003,73.54
EUU,2002,72.797
EUU,2001,72.195
EUU,2000,71.785
FCS,2024,77.175
FCS,2023,76.971
FCS,2022,73.357
FCS,2021,74.067
FCS,2020,73.842
FCS,2019,74.498
FCS,2018,74.748
FCS,2017,74.89
FCS,2016,75.262
FCS,2015,75.564
FCS,2014,75.586
FCS,2013,75.865
FCS,2012,75.89
FCS,2011,75.97
FCS,2010,76.174
FCS,2009,76.367
FCS,2008,76.61
FCS,2007,76.858
FCS,2006,76.989
FCS,2005,77.068
FCS,2004,77.035
FCS,2003,77.076
FCS,2002,77.238
FCS,2001,77.227
FCS,2000,77.201
HPC,2024,81.605
HPC,2023,81.383
HPC,2022,79.264
HPC,2021,79.522
HPC,2020,79.483
HPC,2019,79.754
HPC,2018,80.253
HPC,2017,80.568
HPC,2016,80.864
HPC,2015,81.246
HPC,2014,81.575
HPC,2013,81.872
HPC,2012,81.615
HPC,2011,82.192
HPC,2010,82.126
HPC,2009,82.232
HPC,2008,82.383
HPC,2007,82.53
HPC,2006,82.616
HPC,2005,82.716
HPC,2004,82.633
HPC,2003,82.542
HPC,2002,82.486
HPC,2001,82.385
HPC,2000,82.255
HIC,2024,80.358
HIC,2023,80.075
HIC,2022,79.725
HIC,2021,79.348
HIC,2020,78.886
HIC,2019,78.781
HIC,2018,78.242
HIC,2017,77.857
HIC,2016,77.514
HIC,2015,77.265
HIC,2014,77.278
HIC,2013,77.035
HIC,2012,76.906
HIC,2011,76.818
HIC,2010,76.58
HIC,2009,76.441
HIC,2008,75.841
HIC,2007,75.661
HIC,2006,75.492
HIC,2005,75.123
HIC,2004,74.76
HIC,2003,74.451
HIC,2002,74.014
HIC,2001,73.501
HIC,2000,73.128
IBD,2024,65.98
IBD,2023,65.674
IBD,2022,65.202
IBD,2021,64.867
IBD,2020,64.002
IBD,2019,64.703
IBD,2018,64.579
IBD,2017,64.476
IBD,2016,64.378
IBD,2015,64.284
IBD,2014,64.193
IBD,2013,64.244
IBD,2012,64.368
IBD,2011,64.489
IBD,2010,64.67
IBD,2009,65.166
IBD,2008,65.441
IBD,2007,65.905
IBD,2006,66.043
IBD,2005,66.39
IBD,2004,66.334
IBD,2003,66.459
IBD,2002,66.471
IBD,2001,66.498
IBD,2000,66.555
IBT,2024,67.286
IBT,2023,67.093
IBT,2022,66.345
IBT,2021,66.032
IBT,2020,65.296
IBT,2019,65.83
IBT,2018,65.692
IBT,2017,65.605
IBT,2016,65.508
IBT,2015,65.456
IBT,2014,65.354
IBT,2013,65.372
IBT,2012,65.402
IBT,2011,65.554
IBT,2010,65.672
IBT,2009,65.956
IBT,2008,66.079
IBT,2007,66.394
IBT,2006,66.453
IBT,2005,66.706
IBT,2004,66.63
IBT,2003,66.707
IBT,2002,66.697
IBT,2001,66.701
IBT,2000,66.744
IDB,2024,70.908
IDB,2023,70.703
IDB,2022,68.036
IDB,2021,67.848
IDB,2020,67.472
IDB,2019,67.693
IDB,2018,67.145
IDB,2017,67.427
IDB,2016,67.604
IDB,2015,67.791
IDB,2014,67.717
IDB,2013,67.424
IDB,2012,67.413
IDB,2011,67.23
IDB,2010,67.182
IDB,2009,66.81
IDB,2008,66.564
IDB,2007,66.384
IDB,2006,66.12
IDB,2005,65.52
IDB,2004,65.111
IDB,2003,64.741
IDB,2002,64.416
IDB,2001,64.156
IDB,2000,64.099
IDX,2024,71.688
IDX,2023,72.112
IDX,2022,71.025
IDX,2021,70.905
IDX,2020,70.609
IDX,2019,70.684
IDX,2018,70.794
IDX,2017,70.685
IDX,2016,70.546
IDX,2015,70.665
IDX,2014,70.552
IDX,2013,70.595
IDX,2012,70.224
IDX,2011,70.785
IDX,2010,70.719
IDX,2009,70.204
IDX,2008,69.68
IDX,2007,69.396
IDX,2006,69.172
IDX,2005,69.319
IDX,2004,69.313
IDX,2003,69.331
IDX,2002,69.365
IDX,2001,69.365
IDX,2000,69.376
IDA,2024,71.399
IDA,2023,71.594
IDA,2022,69.949
IDA,2021,69.806
IDA,2020,69.492
IDA,2019,69.615
IDA,2018,69.492
IDA,2017,69.518
IDA,2016,69.488
IDA,2015,69.632
IDA,2014,69.54
IDA,2013,69.467
IDA,2012,69.223
IDA,2011,69.53
IDA,2010,69.469
IDA,2009,69.008
IDA,2008,68.587
IDA,2007,68.343
IDA,2006,68.109
IDA,2005,67.997
IDA,2004,67.852
IDA,2003,67.739
IDA,2002,67.65
IDA,2001,67.562
IDA,2000,67.554
LTE,2024,80.872
LTE,2023,80.689
LTE,2022,80.546
LTE,2021,80.213
LTE,2020,79.729
LTE,2019,80.165
LTE,2018,79.966
LTE,2017,79.772
LTE,2016,79.515
LTE,2015,79.358
LTE,2014,79.205
LTE,2013,79.066
LTE,2012,79.0
LTE,2011,78.951
LTE,2010,78.84
LTE,2009,79.15
LTE,2008,79.261
LTE,2007,79.558
LTE,2006,79.77
LTE,2005,79.988
LTE,2004,80.037
LTE,2003,80.186
LTE,2002,80.297
LTE,2001,80.286
LTE,2000,80.331
LCN,2024,69.198
LCN,2023,69.094
LCN,2022,68.87
LCN,2021,68.489
LCN,2020,67.466
LCN,2019,69.191
LCN,2018,68.379
LCN,2017,67.733
LCN,2016,67.208
LCN,2015,66.732
LCN,2014,66.169
LCN,2013,66.27
LCN,2012,66.198
LCN,2011,65.791
LCN,2010,66.039
LCN,2009,66.294
LCN,2008,65.436
LCN,2007,65.328
LCN,2006,64.976
LCN,2005,64.617
LCN,2004,63.771
LCN,2003,62.92
LCN,2002,62.233
LCN,2001,61.363
LCN,2000,60.294
LAC,2024,69.483
LAC,2023,69.482
LAC,2022,69.311
LAC,2021,68.655
LAC,2020,67.516
LAC,2019,69.302
LAC,2018,68.514
LAC,2017,67.887
LAC,2016,67.277
LAC,2015,66.76
LAC,2014,66.134
LAC,2013,66.294
LAC,2012,66.25
LAC,2011,65.911
LAC,2010,66.313
LAC,2009,66.625
LAC,2008,65.773
LAC,2007,65.763
LAC,2006,65.426
LAC,2005,65.062
LAC,2004,64.384
LAC,2003,63.508
LAC,2002,62.757
LAC,2001,61.787
LAC,2000,60.697
TLA,2024,69.273
TLA,2023,69.155
TLA,2022,68.916
TLA,2021,68.473
TLA,2020,67.426
TLA,2019,69.18
TLA,2018,68.357
TLA,2017,67.709
TLA,2016,67.183
TLA,2015,66.706
TLA,2014,66.151
TLA,2013,66.269
TLA,2012,66.217
TLA,2011,65.822
TLA,2010,66.098
TLA,2009,66.36
TLA,2008,65.491
TLA,2007,65.408
TLA,2006,65.078
TLA,2005,64.765
TLA,2004,63.946
TLA,2003,63.092
TLA,2002,62.415
TLA,2001,61.548
TLA,2000,60.479
LDC,2024,73.701
LDC,2023,74.141
LDC,2022,73.019
LDC,2021,72.788
LDC,2020,72.376
LDC,2019,72.55
LDC,2018,72.6
LDC,2017,72.472
LDC,2016,72.315
LDC,2015,72.426
LDC,2014,72.358
LDC,2013,72.49
LDC,2012,72.286
LDC,2011,72.93
LDC,2010,72.956
LDC,2009,72.406
LDC,2008,71.853
LDC,2007,71.529
LDC,2006,71.22
LDC,2005,71.295
LDC,2004,71.256
LDC,2003,71.23
LDC,2002,71.264
LDC,2001,71.269
LDC,2000,71.271
LMY,2024,66.899
LMY,2023,66.729
LMY,2022,65.927
LMY,2021,65.615
LMY,2020,64.802
LMY,2019,65.327
LMY,2018,65.153
LMY,2017,65.046
LMY,2016,64.91
LMY,2015,64.824
LMY,2014,64.67
LMY,2013,64.66
LMY,2012,64.679
LMY,2011,64.849
LMY,2010,64.992
LMY,2009,65.285
LMY,2008,65.428
LMY,2007,65.735
LMY,2006,65.787
LMY,2005,66.066
LMY,2004,66.01
LMY,2003,66.098
LMY,2002,66.083
LMY,2001,66.127
LMY,2000,66.182
LIC,2024,78.978
LIC,2023,79.245
LIC,2022,76.172
LIC,2021,76.706
LIC,2020,76.453
LIC,2019,76.675
LIC,2018,76.858
LIC,2017,77.136
LIC,2016,77.417
LIC,2015,77.684
LIC,2014,77.43
LIC,2013,77.393
LIC,2012,76.588
LIC,2011,77.382
LIC,2010,77.245
LIC,2009,77.436
LIC,2008,77.65
LIC,2007,77.979
LIC,2006,78.355
LIC,2005,78.826
LIC,2004,79.019
LIC,2003,79.196
LIC,2002,79.375
LIC,2001,79.531
LIC,2000,79.576
LMC,2024,55.501
LMC,2023,54.881
LMC,2022,53.559
LMC,2021,52.352
LMC,2020,51.061
LMC,2019,51.278
LMC,2018,51.123
LMC,2017,50.994
LMC,2016,50.87
LMC,2015,50.803
LMC,2014,50.632
LMC,2013,50.462
LMC,2012,50.422
LMC,2011,50.743
LMC,2010,51.112
LMC,2009,51.383
LMC,2008,51.542
LMC,2007,51.991
LMC,2006,52.273
LMC,2005,52.7
LMC,2004,52.371
LMC,2003,52.188
LMC,2002,51.99
LMC,2001,51.849
LMC,2000,51.58
MEA,2024,29.144
MEA,2023,29.178
MEA,2022,28.653
MEA,2021,29.172
MEA,2020,28.96
MEA,2019,29.189
MEA,2018,28.894
MEA,2017,29.9
MEA,2016,30.372
MEA,2015,30.132
MEA,2014,29.265
MEA,2013,28.773
MEA,2012,28.691
MEA,2011,28.331
MEA,2010,28.346
MEA,2009,28.026
MEA,2008,27.149
MEA,2007,27.474
MEA,2006,26.9
MEA,2005,26.39
MEA,2004,25.671
MEA,2003,25.0
MEA,2002,24.293
MEA,2001,24.494
MEA,2000,24.153
MNA,2024,25.159
MNA,2023,25.194
MNA,2022,24.505
MNA,2021,25.357
MNA,2020,25.202
MNA,2019,26.13
MNA,2018,26.077
MNA,2017,27.488
MNA,2016,27.918
MNA,2015,27.838
MNA,2014,27.03
MNA,2013,26.622
MNA,2012,26.557
MNA,2011,26.28
MNA,2010,26.408
MNA,2009,26.147
MNA,2008,25.245
MNA,2007,25.688
MNA,2006,25.125
MNA,2005,24.664
MNA,2004,23.947
MNA,2003,23.25
MNA,2002,22.565
MNA,2001,22.836
MNA,2000,22.508
TMN,2024,25.159
TMN,2023,25.194
TMN,2022,24.493
TMN,2021,25.359
TMN,2020,25.205
TMN,2019,26.132
TMN,2018,26.082
TMN,2017,27.505
TMN,2016,27.938
TMN,2015,27.852
TMN,2014,27.046
TMN,2013,26.641
TMN,2012,26.572
TMN,2011,26.297
TMN,2010,26.435
TMN,2009,26.166
TMN,2008,25.257
TMN,2007,25.701
TMN,2006,25.144
TMN,2005,24.687
TMN,2004,23.964
TMN,2003,23.269
TMN,2002,22.591
TMN,2001,22.866
TMN,2000,22.528
MIC,2024,65.968
MIC,2023,65.76
MIC,2022,65.103
MIC,2021,64.746
MIC,2020,63.888
MIC,2019,64.468
MIC,2018,64.285
MIC,2017,64.165
MIC,2016,64.011
MIC,2015,63.91
MIC,2014,63.766
MIC,2013,63.759
MIC,2012,63.857
MIC,2011,63.98
MIC,2010,64.16
MIC,2009,64.472
MIC,2008,64.621
MIC,2007,64.937
MIC,2006,64.978
MIC,2005,65.254
MIC,2004,65.19
MIC,2003,65.28
MIC,2002,65.261
MIC,2001,65.305
MIC,2000,65.366
NAC,2024,84.365
NAC,2023,84.237
NAC,2022,83.488
NAC,2021,83.059
NAC,2020,83.035
NAC,2019,83.101
NAC,2018,82.683
NAC,2017,82.547
NAC,2016,82.057
NAC,2015,81.979
NAC,2014,82.224
NAC,2013,82.025
NAC,2012,82.158
NAC,2011,82.36
NAC,2010,82.531
NAC,2009,82.387
NAC,2008,81.576
NAC,2007,81.08
NAC,2006,80.809
NAC,2005,80.73
NAC,2004,80.602
NAC,2003,80.737
NAC,2002,80.182
NAC,2001,79.919
NAC,2000,79.644
OED,2024,78.709
OED,2023,78.319
OED,2022,77.613
OED,2021,77.075
OED,2020,76.733
OED,2019,76.87
OED,2018,76.265
OED,2017,75.971
OED,2016,75.619
OED,2015,75.283
OED,2014,75.114
OED,2013,74.931
OED,2012,74.612
OED,2011,74.277
OED,2010,73.974
OED,2009,73.703
OED,2008,72.859
OED,2007,72.471
OED,2006,72.156
OED,2005,71.734
OED,2004,71.415
OED,2003,71.175
OED,2002,70.693
OED,2001,70.238
OED,2000,69.885
OSS,2024,78.111
OSS,2023,77.779
OSS,2022,76.149
OSS,2021,77.079
OSS,2020,76.427
OSS,2019,76.234
OSS,2018,75.434
OSS,2017,75.33
OSS,2016,74.979
OSS,2015,75.167
OSS,2014,74.067
OSS,2013,74.098
OSS,2012,74.654
OSS,2011,73.92
OSS,2010,73.967
OSS,2009,73.279
OSS,2008,72.571
OSS,2007,71.751
OSS,2006,71.566
OSS,2005,71.18
OSS,2004,70.164
OSS,2003,69.663
OSS,2002,68.96
OSS,2001,68.03
OSS,2000,67.606
PSS,2024,74.33
PSS,2023,74.016
PSS,2022,73.586
PSS,2021,74.608
PSS,2020,73.73
PSS,2019,73.105
PSS,2018,72.777
PSS,2017,72.407
PSS,2016,71.984
PSS,2015,72.407
PSS,2014,72.881
PSS,2013,72.71
PSS,2012,72.606
PSS,2011,72.541
PSS,2010,71.424
PSS,2009,70.846
PSS,2008,70.346
PSS,2007,69.899
PSS,2006,69.468
PSS,2005,68.735
PSS,2004,68.654
PSS,2003,68.818
PSS,2002,68.975
PSS,2001,68.988
PSS,2000,68.982
PST,2024,82.775
PST,2023,82.405
PST,2022,81.798
PST,2021,81.29
PST,2020,80.853
PST,2019,80.851
PST,2018,80.338
PST,2017,80.088
PST,2016,79.686
PST,2015,79.369
PST,2014,79.273
PST,2013,78.938
PST,2012,78.622
PST,2011,78.445
PST,2010,78.164
PST,2009,77.978
PST,2008,77.281
PST,2007,76.894
PST,2006,76.63
PST,2005,76.164
PST,2004,75.732
PST,2003,75.323
PST,2002,74.818
PST,2001,74.355
PST,2000,73.908
PRE,2024,85.328
PRE,2023,85.242
PRE,2022,82.054
PRE,2021,82.309
PRE,2020,81.857
PRE,2019,82.148
PRE,2018,82.262
PRE,2017,82.443
PRE,2016,82.648
PRE,2015,82.78
PRE,2014,82.893
PRE,2013,83.093
PRE,2012,82.973
PRE,2011,83.474
PRE,2010,83.658
PRE,2009,83.715
PRE,2008,83.915
PRE,2007,84.03
PRE,2006,83.97
PRE,2005,83.903
PRE,2004,83.84
PRE,2003,83.731
PRE,2002,83.702
PRE,2001,83.524
PRE,2000,83.415
SST,2024,77.063
SST,2023,76.862
SST,2022,75.716
SST,2021,76.233
SST,2020,75.541
SST,2019,75.566
SST,2018,74.819
SST,2017,74.511
SST,2016,74.14
SST,2015,74.007
SST,2014,73.429
SST,2013,73.228
SST,2012,73.47
SST,2011,72.662
SST,2010,72.482
SST,2009,71.824
SST,2008,71.377
SST,2007,70.509
SST,2006,70.443
SST,2005,69.915
SST,2004,68.927
SST,2003,68.298
SST,2002,67.529
SST,2001,66.793
SST,2000,66.382
SAS,2024,42.622
SAS,2023,41.634
SAS,2022,40.369
SAS,2021,38.576
SAS,2020,36.524
SAS,2019,36.625
SAS,2018,36.297
SAS,2017,36.002
SAS,2016,35.449
SAS,2015,35.291
SAS,2014,35.128
SAS,2013,35.082
SAS,2012,35.16
SAS,2011,35.991
SAS,2010,36.802
SAS,2009,37.6
SAS,2008,38.444
SAS,2007,39.333
SAS,2006,40.265
SAS,2005,41.451
SAS,2004,41.162
SAS,2003,40.883
SAS,2002,40.611
SAS,2001,40.344
SAS,2000,40.069
TSA,2024,42.622
TSA,2023,41.634
TSA,2022,40.369
TSA,2021,38.576
TSA,2020,36.524
TSA,2019,36.625
TSA,2018,36.297
TSA,2017,36.002
TSA,2016,35.449
TSA,2015,35.291
TSA,2014,35.128
TSA,2013,35.082
TSA,2012,35.16
TSA,2011,35.991
TSA,2010,36.802
TSA,2009,37.6
TSA,2008,38.444
TSA,2007,39.333
TSA,2006,40.265
TSA,2005,41.451
TSA,2004,41.162
TSA,2003,40.883
TSA,2002,40.611
TSA,2001,40.344
TSA,2000,40.069
SSF,2024,86.906
SSF,2023,86.733
SSF,2022,83.915
SSF,2021,83.81
SSF,2020,83.617
SSF,2019,84.021
SSF,2018,84.317
SSF,2017,84.637
SSF,2016,84.824
SSF,2015,85.104
SSF,2014,85.325
SSF,2013,85.574
SSF,2012,85.359
SSF,2011,85.713
SSF,2010,85.751
SSF,2009,85.773
SSF,2008,85.882
SSF,2007,85.936
SSF,2006,85.895
SSF,2005,85.792
SSF,2004,85.659
SSF,2003,85.481
SSF,2002,85.323
SSF,2001,85.046
SSF,2000,84.882
SSA,2024,88.441
SSA,2023,88.293
SSA,2022,85.156
SSA,2021,85.108
SSA,2020,84.713
SSA,2019,84.96
SSA,2018,85.125
SSA,2017,85.324
SSA,2016,85.374
SSA,2015,85.536
SSA,2014,85.635
SSA,2013,85.769
SSA,2012,85.542
SSA,2011,85.951
SSA,2010,86.006
SSA,2009,86.041
SSA,2008,86.174
SSA,2007,86.244
SSA,2006,86.208
SSA,2005,86.102
SSA,2004,85.963
SSA,2003,85.772
SSA,2002,85.6
SSA,2001,85.291
SSA,2000,85.102
TSS,2024,86.906
TSS,2023,86.733
TSS,2022,83.915
TSS,2021,83.81
TSS,2020,83.617
TSS,2019,84.021
TSS,2018,84.317
TSS,2017,84.637
TSS,2016,84.824
TSS,2015,85.104
TSS,2014,85.325
TSS,2013,85.574
TSS,2012,85.359
TSS,2011,85.713
TSS,2010,85.751
TSS,2009,85.773
TSS,2008,85.882
TSS,2007,85.936
TSS,2006,85.895
TSS,2005,85.792
TSS,2004,85.659
TSS,2003,85.481
TSS,2002,85.323
TSS,2001,85.046
TSS,2000,84.882
UMC,2024,75.562
UMC,2023,75.517
UMC,2022,75.287
UMC,2021,75.216
UMC,2020,74.662
UMC,2019,75.239
UMC,2018,74.921
UMC,2017,74.696
UMC,2016,74.411
UMC,2015,74.164
UMC,2014,73.931
UMC,2013,73.923
UMC,2012,73.97
UMC,2011,73.883
UMC,2010,73.863
UMC,2009,74.106
UMC,2008,74.18
UMC,2007,74.342
UMC,2006,74.171
UMC,2005,74.31
UMC,2004,74.363
UMC,2003,74.57
UMC,2002,74.606
UMC,2001,74.713
UMC,2000,74.912
WLD,2024,69.635
WLD,2023,69.438
WLD,2022,68.734
WLD,2021,68.428
WLD,2020,67.773
WLD,2019,68.182
WLD,2018,67.97
WLD,2017,67.836
WLD,2016,67.692
WLD,2015,67.595
WLD,2014,67.505
WLD,2013,67.472
WLD,2012,67.464
WLD,2011,67.571
WLD,2010,67.641
WLD,2009,67.847
WLD,2008,67.839
WLD,2007,68.033
WLD,2006,68.038
WLD,2005,68.173
WLD,2004,68.047
WLD,2003,68.058
WLD,2002,67.97
WLD,2001,67.902
WLD,2000,67.876
AFG,2024,7.323
AFG,2023,7.342
AFG,2022,7.346
AFG,2021,21.866
AFG,2020,24.68
AFG,2019,26.371
AFG,2018,27.75
AFG,2017,28.937
AFG,2016,27.106
AFG,2015,25.38
AFG,2014,23.754
AFG,2013,22.224
AFG,2012,20.786
AFG,2011,20.321
AFG,2010,19.848
AFG,2009,19.371
AFG,2008,18.927
AFG,2007,18.529
AFG,2006,18.213
AFG,2005,17.991
AFG,2004,17.841
AFG,2003,17.751
AFG,2002,17.727
AFG,2001,17.766
AFG,2000,17.88
ALB,2024,82.934
ALB,2023,82.724
ALB,2022,82.737
ALB,2021,78.2
ALB,2020,78.227
ALB,2019,77.834
ALB,2018,76.118
ALB,2017,74.511
ALB,2016,76.662
ALB,2015,73.326
ALB,2014,69.436
ALB,2013,71.264
ALB,2012,74.819
ALB,2011,77.72
ALB,2010,73.254
ALB,2009,71.294
ALB,2008,74.298
ALB,2007,73.234
ALB,2006,72.266
ALB,2005,71.386
ALB,2004,70.591
ALB,2003,69.875
ALB,2002,69.234
ALB,2001,69.613
ALB,2000,70.385
DZA,2024,21.359
DZA,2023,21.207
DZA,2022,21.026
DZA,2021,21.529
DZA,2020,21.355
DZA,2019,21.413
DZA,2018,21.592
DZA,2017,21.781
DZA,2016,21.98
DZA,2015,22.311
DZA,2014,22.226
DZA,2013,21.683
DZA,2012,21.176
DZA,2011,20.702
DZA,2010,20.267
DZA,2009,20.147
DZA,2008,19.534
DZA,2007,18.959
DZA,2006,18.427
DZA,2005,17.941
DZA,2004,17.487
DZA,2003,17.081
DZA,2002,16.703
DZA,2001,16.369
DZA,2000,16.081
AGO,2024,93.34
AGO,2023,93.208
AGO,2022,96.711
